------------------------------base_skill  基本技能----------------
whip--------- 基本鞭法
unarmed------ 基本拳脚
throw-------- 基本投掷
taoism------- 道学心法
sword-------- 基本剑术
strike------- 基本掌法
stick-------- 基本棍法
staff-------- 基本杖法
qiang-------- 基本枪法
parry-------- 基本招架
literate----- 读书写字
hand--------- 基本手法
hammer------- 基本锤法
finger------- 基本指法
dodge-------- 基本躲闪
dagger------- 基本短兵
cuff--------- 基本拳法
club--------- 基本棍法
claw--------- 基本爪法
buddhism----- 禅宗心法
blade-------- 基本刀法
array-------- 基本阵法

-------------------------------high_skill  高级技能-----------
zhongpingqiang----- 中平枪法
wuhuduanmendao----- 五虎断门刀
hehai_sword-------- 河海剑
changquan---------- 长拳

-------------------------------baituo 白驼----------------------
chanchu_bufa-------- 蟾蜍步法
lingshe_quan-------- 灵蛇拳
hamagong------------ 蛤蟆功
lingshe_zhangfa----- 灵蛇杖法

---------------------------------dali  大理----------------------
yiyang_zhi------------ 一阳指
wuluo_zhang----------- 五罗轻烟掌
tiannan_step---------- 天南步法
tianlong_shengong----- 天龙神功
sun_finger------------ 一阳指诀
lm_zhongchong--------- 六脉神剑之中指中冲剑
lm_shaoze------------- 六脉神剑之左手小指少泽剑
lm_shaoshang---------- 六脉神剑之右手拇指少商剑
lm_shaochong---------- 六脉神剑之小指少冲剑
lm_shangyang---------- 六脉神剑之食指商阳剑
lm_guanchong---------- 六脉神剑之右手无名指关冲剑
liumai_shenjian------- 六脉神剑
kurong_shengong------- 枯荣神功
kurong_changong------- 枯荣禅功
jinyu_quan------------ 金玉拳
feifeng_whip---------- 飞凤鞭法
duanjia_sword--------- 段家剑

----------------------------------emei 峨嵋----------------------
zhutian_bu---------- 诸天化身步
yanxing_dao--------- 雁行刀法
tiangang_zhi-------- 天罡指穴法
persuading---------- 渡世济人
mahayana------------ 大乘涅磐功
linji_zhuang-------- 临济十二庄 
jiuyin_zhua--------- 九阴白骨爪
jiuyin_baiguzhao---- 九阴白骨爪
jinding_zhang------- 金顶绵掌
huifeng_jian-------- 回风拂柳剑
 
--------------------------------gaibang 丐帮----------------------
xiaoyaoyou----------- 逍遥游
xianglong_zhang------ 降龙十八掌
shexing_diaoshou----- 蛇形刁手
huntian_qigong------- 混天气功
dagou_bang----------- 打狗棒
 
-------------------------------gumu 古墓----------------------
yunv_xinjing---------- 玉女心经
yunv_xinfa------------ 玉女心法
yunv_swords----------- 玉女剑法
yunv_shenfa----------- 玉女身法
yunv_jian------------- 玉女剑
yufeng_shu------------ 御蜂术
yinsuo_jinling-------- 银索金铃
xianyun_bufa---------- 纤云步法
tianluo_diwang-------- 天罗地网势
qufeng---------------- 驱蜂之术
meinv_quanfa---------- 美女拳法
meinv_quan------------ 美女拳
anranxiaohun_zhang---- 黯然消魂掌

----------------------------huashan  华山----------------------
zixia_shengong----- 紫霞神功
poyu_quan---------- 劈石破玉拳
lonely_sword------- 独孤九剑
hunyuan_zhang------ 混元掌
huashan_zhangfa---- 华山掌法
huashan_sword------ 华山剑法
huashan_shenfa----- 华山身法
huashan_neigong---- 华山内功
huashan_ken-------- 华山拳法
huashan_jianfa----- 华山剑法
fanliangyi_dao----- 反两仪刀法

-----------------------------huihua 葵花----------------------
pixie_sword----- 辟邪剑法
pixie_jian------ 辟邪剑法
kuihua_xinfa---- 葵花心法

-----------------------------lingjiu 灵鹫----------------------
zhemei_shou------ 折梅手
liuyang_zhang---- 六阳掌

-----------------------------miji 秘籍----------------------
zhengqijue------ 正气决
yihun_dafa------ 移魂大法
taixuan_gong---- 侠客岛太玄功
jinshe_zhui----- 金蛇锥法
jinshe_zhang---- 金蛇游身掌
jinshe_jian----- 金蛇剑法

------------------------------mingjiao 明教----------------------
yingzhua_shou-------- 鹰爪手（殷天正）
xuantian_zhi--------- 玄天无情指
xuantian_shengong---- 玄天神功
wuzheng_xinfa-------- 无争心法
wuyun_jianfa--------- 五韵七弦剑
wuyue_blade---------- 巫月刀法
sougu---------------- 搜骨鹰爪功
shenghuo_xinfa------- 圣火心法
